/Users/apple/Documents/Workwise/hospitality/backend/app/config/app.config.js: line 33, col 7, Error - 'magicSearchFileUploadPath' is assigned a value but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 445, col 40, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 447, col 11, Error - 'created_by' is assigned a value but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 449, col 13, Error - 'created_at' is assigned a value but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 452, col 11, Error - 'banner' is assigned a value but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 475, col 40, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 510, col 40, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 512, col 11, Error - 'created_by' is assigned a value but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 516, col 11, Error - 'banner' is assigned a value but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 540, col 39, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 543, col 11, Error - 'updatedBy' is assigned a value but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 563, col 40, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 585, col 41, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 587, col 11, Error - 'updatedBy' is assigned a value but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 611, col 40, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 649, col 38, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 806, col 31, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 845, col 31, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 868, col 32, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 891, col 39, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 917, col 38, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 939, col 31, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 964, col 29, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 998, col 31, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 1024, col 39, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 1069, col 38, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 1102, col 37, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 1152, col 39, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 1182, col 39, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 1242, col 36, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 1276, col 38, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 1335, col 38, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 1358, col 38, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 1379, col 32, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 1415, col 30, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 1450, col 32, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 1499, col 32, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 1528, col 41, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 1580, col 33, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 1656, col 37, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 1698, col 46, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 1729, col 46, Error - 'next' is defined but never used. (no-unused-vars)
